NUM;COUNTRY;CONTINENT;GDP;Consumption;Investment;Govexp;Population
1;ALGERIA         ;AFRICA;69433331;34577798.84;12497999.58;15553066.14;25003
2;BENIN           ;AFRICA;4360800;3279321.6;313977.6;824191.2;4740
3;BURKINA FASO    ;AFRICA;4607176;3469203.528;446896.072;1045828.952;9016
4;BURUNDI         ;AFRICA;3020600;2422521.2;205400.8;531625.6;5492
5;CAMEROON        ;AFRICA;14128424;7869532.168;1003118.104;3433207.032;11524
6;CAPE VERDE IS.  ;AFRICA;392518;308519.148;75755.974;53774.966;371
7;CENTRAL AFR.R.  ;AFRICA;1741632;1536119.424;76631.808;245570.112;3008
8;CHAD            ;AFRICA;2266320;1586424;36261.12;766016.16;5680
9;COMOROS         ;AFRICA;267900;188601.6;30272.7;80637.9;475
10;CONGO           ;AFRICA;5032236;2299731.852;196257.204;1811604.96;2276
11;EGYPT           ;AFRICA;100238512;65656225.36;4410494.528;29971315.09;52426
12;GABON           ;AFRICA;4496288;1659130.272;656458.048;642969.184;1136
13;GAMBIA          ;AFRICA;699125;461422.5;61523;209038.375;875
14;GHANA           ;AFRICA;13412740;11065510.5;737700.7;2467944.16;14870
15;GUINEA          ;AFRICA;4384939;2087230.964;249941.523;469188.473;5717
16;GUINEA-BISS     ;AFRICA;675220;464551.36;76975.08;187035.94;980
17;IVORY COAST     ;AFRICA;14437126;9340820.522;678544.922;3132856.342;11902
18;KENYA           ;AFRICA;22009760;15010656.32;2421073.6;4908176.48;24160
19;LESOTHO         ;AFRICA;1718496;1091244.96;529296.768;441653.472;1768
20;MADAGASCAR      ;AFRICA;7879275;6342816.375;189102.6;1449786.6;11673
21;MALAWI          ;AFRICA;4415133;2883081.849;309059.31;1298049.102;8507
22;MALI            ;AFRICA;4492260;3346733.7;372857.58;1015250.76;8460
23;MAURITANIA      ;AFRICA;1557479;1224178.494;188454.959;246081.682;1969
24;MAURITIUS       ;AFRICA;6275850;4788473.55;859791.45;947653.35;1075
25;MOROCCO         ;AFRICA;53970741;38157313.89;5343103.359;12413270.43;25091
26;MOZAMBIQUE      ;AFRICA;11937320;8559058.44;262621.04;3700569.2;15707
27;NAMIBIA         ;AFRICA;4106906;2542174.814;418904.412;1178682.022;1439
28;NIGERIA         ;AFRICA;95721985;56188805.2;7657758.8;22207500.52;96203
29;RWANDA          ;AFRICA;5232276;3437605.332;272078.352;1642934.664;6921
30;SENEGAL         ;AFRICA;8477580;6417528.06;347580.78;1949843.4;7404
31;SEYCHELLES      ;AFRICA;270164;157775.776;51601.324;104013.14;68
32;SIERRA LEONE    ;AFRICA;3726536;2694285.528;44718.432;1013617.792;4136
33;SOUTH AFRICA    ;AFRICA;123290832;73851208.37;15411354;29219927.18;37959
34;SUDAN           ;AFRICA;19014326;12492412.18;2452848.054;4373294.98;25118
35;TOGO            ;AFRICA;2331958;1634702.558;298490.624;589985.374;3638
36;TUNISIA         ;AFRICA;23495340;16775672.76;2654973.42;4276151.88;8074
37;UGANDA          ;AFRICA;9046820;7536001.06;162842.76;1320835.72;16330
38;ZAMBIA          ;AFRICA;5546450;3000629.45;621202.4;1802596.25;8050
39;ZIMBABWE        ;AFRICA;11589510;5968597.65;1541404.83;4021559.97;9805
40;BELIZE          ;AMERICA;651232;336035.712;139363.648;175181.408;188
41;CANADA          ;AMERICA;455462306;284208478.9;120242048.8;55566401.33;26522
42;COSTA RICA      ;AMERICA;10476006;6736071.858;1948537.116;2021869.158;2994
43;DOMINICAN REP.  ;AMERICA;15322284;11369134.73;3079779.084;1501583.832;7074
44;EL SALVADOR     ;AMERICA;9433728;6537573.504;632059.776;2518805.376;5172
45;GRENADA         ;AMERICA;262171;243294.688;40636.505;33033.546;91
46;GUATEMALA       ;AMERICA;19562019;16236475.77;1408465.368;2308318.242;9197
47;HONDURAS        ;AMERICA;7029585;5194863.315;948993.975;1159881.525;5105
48;JAMAICA         ;AMERICA;5996020;4359106.54;1031315.44;893406.98;2356
49;MEXICO          ;AMERICA;476205748;361916368.5;71430862.2;42858517.32;81724
50;NICARAGUA       ;AMERICA;4756744;2801722.216;404323.24;1512644.592;3676
51;PANAMA          ;AMERICA;6983184;3652205.232;1110326.256;1780711.92;2418
52;ST.KITTS&NEVIS  ;AMERICA;201480;116455.44;78778.68;42310.8;40
53;TRINIDAD&TOBAGO ;AMERICA;9596304;6112845.648;1017208.224;1324289.952;1236
54;U.S.A.          ;AMERICA;4520216088;3060186292;917603865.9;592148307.5;250372
55;ARGENTINA       ;AMERICA;152107332;120621114.3;17492343.18;5932185.948;32322
56;BOLIVIA         ;AMERICA;11891176;8763796.712;606449.976;2199867.56;7172
57;BRAZIL          ;AMERICA;602427764;419892151.5;91569020.13;81930175.9;149042
58;CHILE           ;AMERICA;57144474;32686639.13;15086141.14;9428838.21;13173
59;COLOMBIA        ;AMERICA;106590000;75678900;13963290;14283060;32300
60;ECUADOR         ;AMERICA;29056985;18799869.3;4213262.825;4503832.675;10547
61;GUYANA          ;AMERICA;873012;445236.12;241824.324;232221.192;798
62;PARAGUAY        ;AMERICA;9101456;6334613.376;1665566.448;1101276.176;4277
63;PERU            ;AMERICA;47068256;30923844.19;7577989.216;8613490.848;21512
64;URUGUAY         ;AMERICA;14238588;10080920.3;1409620.212;2505991.488;3094
65;VENEZUELA       ;AMERICA;117012875;75824343;9712068.625;18019982.75;19325
66;BANGLADESH      ;ASIA;150502250;87441807.25;3762556.25;60652406.75;108275
67;CHINA           ;ASIA;1500996292;896094786.3;351233132.3;237157414.1;1133683
68;HONG KONG       ;ASIA;84713545;60739611.77;14994297.47;4828672.065;5705
69;INDIA           ;ASIA;1073786960;583066319.3;171805913.6;324283661.9;849515
